username,like_count,comment_count,share_count,view_count,hashtags,age_group
anon_0031,106,5,1,4175,"['lol', 'haha', 'lmao', 'mommy', 'mom', 'relatable', 'mama', 'lovely', 'hahaha', 'tiktok', 'pregnancy', 'mykids', 'foryou', 'pregnant', 'momlife', 'pregnantlife', 'sahm', 'momofboys', 'momof6', 'momofgirls', 'momtok', 'momofboth', 'momsoftiktok', 'pregnanttiktok', 'pregnancytiktok', 'realisticmomlife', 'nonaestheticmom']",age1
anon_0032,8,2,0,261,"['clean', 'cleaning', 'foryou', 'pregnant', 'fyp', 'sahm', 'stayathomemomlife', 'bathroomclean', '26weeks', 'foryoupage', 'cleantiktok', 'cleantok']",age1
anon_0033,43,2,0,395,"['relatable', 'babyboy', 'pregnancy', 'foryou', 'pregnant', 'postpartum', 'momlife', 'breastfeeding', 'sahm', 'momsoftiktok']",age1
anon_0034,46,19,0,521,"['mom', 'clean', 'mama', 'cleaning', 'natural', 'foryou', 'pregnant', 'momlife', 'fyp', 'pregnantmama', 'sahm', 'nontoxic', 'cleanliving', 'homemaking', 'homemadecleaner', 'momsoftiktok', 'fypシ', 'cleantok', 'nontoxicliving', 'nontoxichome', 'nontoxicproducts', 'diynontoxic']",age1
anon_0035,98,4,0,2618,"['momlife', 'vlogging', 'sahm', '34weekspregnant', 'pregnancyjourney', 'thirdtrimester', 'momsoftiktok', 'pregnancyvlog', 'pregnancytiktok', 'pregnancysymptom', 'realisticmomlife']",age1
anon_0036,59,1,1,915,"['sahm', 'pregnanttiktok', '2under2life', 'christianmomsoftiktok', 'christianitytiktok']",age1
anon_0037,31,4,0,362,"['pregnantlife', 'fyp', 'sahm', 'loungewear', 'babynumber4', 'tiktokcreator', '3under3', 'pregnanttiktok', 'momcontent', 'creatorsearchinsights']",age1
anon_0038,323,4,15,8171,"['fyp', 'scrapbooking', 'babybook', 'sahm', 'scrapbook', 'memoriesareforever', 'babytok', 'foryuu', 'pregnancyjourney', 'fypシ', 'scrapbookingideas', 'scrapbookwithme', 'scrapbooksupplies', 'scrapbookjournal', 'scrapbookasmr']",age1
anon_0039,61,1,0,3505,"['trending', 'pregnancy', 'pregnant', 'fyp', 'vlog', 'sahm', 'pretermlabor', '2under3']",age1
anon_0040,34,4,0,1507,"['bump', 'cozy', 'pregnantlife', 'fyp', 'sahm', 'momtok', 'momsoftiktok', 'pregnanttiktok', 'bostanten', 'ootdinspo', 'pregnancytiktok']",age1
anon_0041,74,6,0,478,"['pregnant', 'parents', 'fyp', 'boymom', 'firsttimemom', 'sahm', 'momtok', 'momsoftiktok', 'dadsoftiktok']",age1
anon_0042,34,3,0,487,"['pregnant', 'sahm', 'thirdtrimester', 'momtok', 'beenpregnantforwaytoolong']",age1
anon_0043,31,8,0,360,"['mom', 'mama', 'pregnancy', '10k', 'pregnant', 'momlife', 'partyof5', 'sahm', 'momtok', 'momsoftiktok', 'pregnanttiktok', 'payoffdebt', 'momcozy']",age1
anon_0044,11,3,1,396,"['mommydaughter', 'baddie', 'grind', 'motherhood', 'viral', 'slay', 'laborday', 'hustlegang', 'wth', 'changeyourlife', 'workfromhome', 'motivate', 'makeithappen', 'youcandoit', 'bigdreams', 'keepfighting', 'hardworker', 'dowork', 'pushyourself', 'wah', 'fyp', 'wh', 'icandothis', 'typing', 'whateverittakes', 'workingfromhome', 'workingmom', 'reachyourgoals', 'hustlemode', 'wfh', 'sahm', 'sahmlife', 'uberdriver', 'goalgetters', 'successgoals', 'medicalinsurance', 'jobhunting', 'jobapplication', 'laptoplifestyle', 'digitalnomad', 'paratii', 'recruiterlife', 'jobsearch', 'strongmind', 'whlife', 'genz', 'keyboardasmr', 'fyps', 'momtok', 'newgrads', 'remotework', 'hardworkpayingoff', 'workfromhomemom', 'howtogethired', 'foryoupage', 'passiveincome', 'lyftdriver', 'interviewtips', 'workfromhomejobs', 'ubereatsdriver', 'biggirljob', 'momsoftiktok', 'typingasmr', 'wedothework', 'healthcareworker', 'pregnanttiktok', 'ridesharedriver', 'wfhlife', 'interviewpreparation', 'gigworker', 'cometoworkwithme', 'hiringimmediately', 'wfhmom', 'remotejob', 'whguru', 'jobinterviewtips', 'remotejobs', 'doordashdriver', 'whdad', 'instacartshopper', 'corporatehumor', 'biggirltiktok', 'wfhhacks', 'wfhdad', 'capcut', 'whmom', 'wfhguru', 'shiftsmart', 'gigjobs', 'corperatejobs', 'remotejobsdaily', 'ghostjobs', 'wthjobs', 'interviewbetter', 'wh2024', '1099contractor', 'usawfh', 'whbabe', 'whsahm', 'whjobshiring2024', 'remotejobsearch2024', 'whjobshiring', 'wfhjobshiring2024', 'whjobshiringimmediately', 'whentryleveljobs', 'whparttimejobs', 'creatorsearchinsights', 'whoossing', 'workingtromnome', 'wthentry', 'usawfhviral']",age1
anon_0045,39,23,1,612,"['pregnancy', 'pregnant', 'babybump', 'sahm', 'momtok', 'secondpregnancy', 'momcontent', 'joyspun']",age1
anon_0046,39,2,1,863,"['pregnancy', 'pregnant', 'momlife', 'sahm', 'induction', 'momtok', 'momsoftiktok', 'laboranddelivery', 'sahmoftiktok', 'midwivesbrew']",age1
anon_0047,10368,150,126,150629,"['pregnant', 'sahm', 'genderreveal', 'babynumber4', 'momsoftiktok', 'intimategenderreveal']",age1
anon_0048,18,2,0,307,"['monday', 'ootd', 'pregnant', 'roadto5k', 'boymom', 'mondaymood', 'sahm', 'december2024']",age1
anon_0049,4,1,0,212,"['journey', 'style', 'pregnancy', 'entrepreneur', 'thenvsnow', 'fyp', 'businesswoman', 'bossmom', 'sahm', 'prepregnancy', 'digitalcreator', 'pregnantanddidntknowit', 'wsham', 'facelessmedia', 'facelesssocialmedia']",age1
anon_0005,174,35,1,4334,"['sunday', 'ootd', 'wife', 'pregnant', 'getreadywithme', 'workparty', 'fy', 'fyp', 'sahm', 'christmastiktok', 'fypシ']",age1
anon_0050,42,6,0,468,"['morning', 'morningroutine', 'pregnant', 'sahm', 'newmom', 'diml', 'morningvlog', '32weekspregnant', 'thirdtrimester', 'momtok', 'expectingmom', 'sahmsoftiktok', 'creatorsearchinsights']",age1
anon_0051,34,8,1,280,"['earlymorning', 'motherhood', 'pregnancy', 'vlog', 'sahm', 'sahmlife', 'nesting', 'morningvlog', 'thirdtrimester', '35weekspregnant', 'momsoftiktok', 'sundayreset']",age1
anon_0052,155,4,3,3529,"['pregnant', 'babynumber2', 'sahm', 'sahmlife', 'secondtrimester', 'millenialmom', 'momsoftiktok', 'pregnancytiktok']",age1
anon_0053,275,10,4,4810,"['pregnant', 'sahm', 'momsoftiktok']",age1
anon_0054,55,8,3,687,"['pregnantlife', 'irishtwins', 'momof4', 'sahm', '2under2', 'momsoftiktok', '3under3', 'backtobackpregnancies', '2024recap']",age1
anon_0055,76,32,0,1429,"['pregnantlife', 'pregnancycravings', 'sahm', 'sahmlife', '30weekspregnant', 'pregnancytiktok']",age1
anon_0056,16,4,0,125,"['pregnant', 'momlife', 'fyp', 'sahm', 'sahmlife', 'organize', 'cleanwithme', 'momtok', 'fypagee']",age1
anon_0057,33,1,0,363,"['triplets', 'sahm', 'ditl', 'morningvlog', 'pregnanttiktok', 'sahmcontent', 'sahmtok', 'ditlmomvlog']",age1
anon_0058,10,8,0,317,"['hospital', 'foryou', 'pregnant', 'fyp', 'sahm', 'momtok']",age1
anon_0059,64,26,7,404,"['pregnant', 'momof5', 'sahm', 'ditl', 'momsoftiktok', 'momcontent']",age1
anon_0060,35,15,3,2206,"['pregnant', 'momlife', 'momhumor', 'lifewithkids', 'sahm', '39weekspregnant', 'lifewithtoddlers', '9monthspregnant', 'pregnant🤰', 'pregnanthumor', 'cleantok', 'cleaningtok']",age1
anon_0061,60,21,0,571,"['travel', 'toddlerlife', 'pregnantlife', 'sahm', 'onthisday', 'momera', 'traveltiktok', 'travelwithkids', 'momsoftiktok']",age1
anon_0062,19,1,1,313,"['dojacat', 'riri', 'pregnantlife', 'fyp', 'sahm', 'momlifebelike', 'fypシ', 'cleantok']",age1
anon_0063,5011,35,7,45159,"['diy', 'pregnancy', 'pregnant', 'momlife', 'fyp', 'storage', 'sahm', 'momsoftiktok']",age1
anon_0064,61,5,0,1442,"['mom', 'first', 'motherhood', 'pregnant', 'pregnantlife', 'pregnacy', 'breastfeeding', 'trimester', 'sahm', 'pregnancytest', 'sahw', 'csection', 'pregnancyjourney', 'momtok', 'postpartumjourney', 'momsoftiktok', 'hurricanehelene', 'pregnancytiktok']",age1
anon_0065,121,36,0,721,"['blessed', 'cravings', 'grateful', 'momlife', 'wifelife', 'pregnantlife', 'fyp', 'foodie', 'besthusbandever', 'sahm', 'digitaldiary', 'girlmom', 'lovelanguage', 'bumpupdate', 'latinacontentcreator', 'picklewhich']",age1
anon_0066,93,11,3,557,"['ootd', 'christian', 'pregnant', 'pigs', 'homestead', 'pregnantlife', 'fyp', 'sahm', 'pigsoftiktok', 'christianmama', 'pregnancyoutfit']",age1
anon_0067,57,2,2,700,"['trending', 'sahm', 'influencer', 'girlmom', 'pregnanttiktok', 'fyppppppppppppppppppppppp', 'briaandshay']",age1
anon_0068,48,2,0,1530,"['pregnant', 'grwm', 'pregnantlife', 'fyp', 'vlogger', 'vlogging', 'sahm', 'lifeupdate', 'babyupdate', '31weeks', 'quittingmyjob', 'momsoftiktok', 'chitchatgrwm']",age1
anon_0069,128178,397,419,822845,"['relateable', 'pregnantlife', 'trickortreat', 'asmr', 'firsttimemom', 'sahm', 'lastminutehalloweencostumes', 'halloween2024']",age1
anon_0070,146,17,1,1972,"['stm', 'sahm', 'carcleaning', 'thirdtrimester', '38weekspregnant', 'cleaningmotivation', 'momsoftiktok', 'inducelabor', 'cleantok', 'pregnancytiktok', 'nestwithme', 'pregnancytok', 'nestingjourney', 'nestingbeforebaby']",age1
anon_0071,39,9,0,799,"['mom', 'twins', 'pregnancy', 'pregnant', 'fyp', 'twinmom', 'sahm', 'momsoftiktok', 'fypシ']",age1
anon_0072,72,2,0,570,"['houstontx', 'fyp', 'sahm', 'maternityshoot', 'pregnanttiktok', 'houstonphotography']",age1
anon_0073,3365,280,177,44596,"['mama', 'pregnancy', 'pregnant', 'momlife', 'momoftwo', 'sahm', 'sahmlife', 'pregnancyannouncement', 'familyof4', 'tiredmama', 'momtok', 'pregnancytiktok']",age1
anon_0074,21,1,0,349,"['positivity', 'babyboy', 'pregnancy', 'pregnantlife', 'fyp', 'pumpkinseason', 'pumpkincarving', 'sahm', 'rainbowbaby', '2under2', 'babysfirsthalloween', 'momtok', 'rainbowbabymom']",age1
anon_0075,45,10,0,540,"['relatable', 'pregnancy', 'foryou', 'fyp', 'sahm', 'momsoftiktok']",age1
anon_0076,119,10,0,657,"['cute', 'sisters', 'cutebaby', 'pregnancy', 'fyp', 'mommychallenge', 'sahm', 'csection', 'momtok', 'paratipage', 'momsoftiktokclub']",age1
anon_0077,50,1,0,508,"['breakfast', 'coffee', 'motherhood', 'morningvibes', 'momlife', 'pregnantlife', 'sahm', 'momof3', '30weekspregnant', 'soloparenting', 'toddlermeals', 'platemytoddlersfoodwithme']",age1
anon_0043,51,6,0,374,"['christmas', 'santa', 'mama', 'pregnant', 'sahm', 'momtok', 'momsoftiktok', 'pregnanttiktok', 'fypシ゚viral']",age1
anon_0078,37,3,0,593,"['pregnancy', 'foryou', 'pregnantlife', 'fyp', 'boymom', 'sahm', 'pregnancytok']",age1
anon_0079,644,77,1,12524,"['lifestyle', 'foryou', 'pregnant', 'triplets', 'fyp', 'sahm', '39weekspregnant', 'induction', 'tripletmom', 'momtok', 'foryoupage', '4under3', 'pregnancytiktok']",age1
anon_0080,53,4,2,2775,"['pregnancy', 'timeflys', 'sahm', '2under2']",age1
anon_0081,31,2,0,370,"['mom', 'latina', 'viral', 'foryou', 'pregnant', 'momlife', 'pregnantlife', 'fyp', 'sahm', 'sahmlife', 'momsoftiktok']",age1
anon_0082,60,2,1,1177,"['family', 'husband', 'soup', 'wife', 'cooking', 'humor', 'chef', 'marriage', 'pregnant', 'recipe', 'pregnantlife', 'husbandwife', 'CookWithMe', 'sahm', 'fallmeals']",age1
anon_0083,15,2,0,527,"['ice', 'craving', 'pregnancy', 'cravings', 'pregnantlife', 'pregnancycravings', 'pregnantlady', 'pregnantmama', 'firsttimemom', 'sahm', 'crushedice', 'cravingsatisfied', 'asmrcrunch', 'pregnancyjourney', 'thirdtrimester', 'pregnantcheck', 'thirdtrimesterbelike', 'pregnancytiktok', 'pregnanttok']",age1
anon_0084,68,25,1,690,"['throwback', 'country', 'diy', 'pregnancy', 'foryou', 'momlife', 'homestead', 'farmlife', 'selfcare', 'sahm', 'girlsgirl', 'chickenmom', 'mentalhealthadvocate', 'momtok', 'signmaker', 'momsoftiktok', 'craftersoftiktok', 'momsover30', 'momcommunity', 'smallbusinesssupport', 'pregnancytiktok', 'momcontentcreator']",age1
anon_0037,153,7,8,9690,"['gifts', 'pregnant', 'blackfriday', 'sahm', 'momhacks', 'pregnancypillow', 'comfortgoals', 'momtok', 'momsoftiktok', 'babyregistry', 'expectingmom', 'pregnancymusthaves', 'tiktokshopfinds', 'falldealsforyou']",age1
anon_0085,72,6,0,1006,"['cooking', 'foryou', 'pregnant', 'sloppyjoe', 'CookWithMe', 'sahm', 'dinnerideas', '38weekspregnant', 'makedinnerwithme', 'dinnerrecipe']",age1
anon_0086,59,19,3,471,"['youngmom', 'boymom', 'wfh', 'sahm', 'thirdtrimester', 'momtok', '38weekspregnant', 'wfhmom', 'momsunder25', 'ohiomomtok', 'creatorsearchinsights']",age1
anon_0034,104,54,2,865,"['mom', 'mama', 'motherhood', 'viral', 'pregnancy', 'foryou', 'parati', 'sisterhood', 'momlife', 'fy', 'fyp', 'nest', 'sahm', 'nesting', '34weekspregnant', 'motherhoodunplugged', 'thirdtrimester', 'momsoftiktok', 'momcommunity', 'motherhoodjourney', 'pospartum', 'sahmsoftiktok', 'preppingforbaby', 'nestwithme', 'nursingcart', 'prepforbaby', 'nestingparty', 'momcontentcreator', 'thirdtrimesternesting', 'nestingpartyideas']",age1
anon_0087,17223,90,16,206364,"['family', 'lifestyle', 'real', 'morningroutine', 'pregnant', 'grwm', 'realistic', 'momlife', 'vlog', 'sahm', 'firsttrimester']",age1
anon_0088,42,2,0,757,"['boymom', 'firsttimemom', 'sahm', 'momtobe', 'firsttimeparents', '406life', 'pregnancyjourney']",age1
anon_0089,25,5,0,842,"['ootd', 'pregnancy', 'momlife', 'fyp', 'yap', 'sahm', 'fypppp']",age1
anon_0090,20,2,0,330,"['smile', 'blessed', 'mylife', 'foryou', 'parati', 'babyontheway', 'momlife', 'pregnantlife', 'sahm', 'hyperemesisgravidarum', 'preclampsia', 'pregnanttiktok']",age1
anon_0091,25,5,5,561,"['love', 'merrychristmas', 'trending', 'pregnancy', 'pregnant', 'happyholidays', 'pregnantlife', 'fyp', 'duedate', '28weeks', 'journy', 'firsttimemom', 'sahm', 'soontobemom', 'thirdtrimester', 'bumpupdate', 'march2025']",age1
anon_0092,88,1,0,615,"['mom', 'relationship', 'marriage', 'foryou', 'pregnant', 'married', 'marriedlife', 'momlife', 'fy', '6monthspregnant', 'fyp', 'youngmom', 'boymom', 'babynumber2', 'sahm', 'sahmlife', '2under2', 'youngparents', 'momtok', 'foryoupage', '25weekspregnant', 'momsoftiktok', 'fypシ', 'sahmsoftiktok', 'sahmtok']",age1
anon_0093,3041,58,2,32800,"['mom', 'pregnancy', 'pregnant', 'momlife', 'pregnantlife', 'fyp', 'sahm', 'foryoupage', 'momsoftiktok', 'prettybamamama']",age1
anon_0094,240,4,0,2704,"['mama', 'pregnancy', 'fyp', 'sahm', '2under2', 'miraclebabies', '20', 'momtok', 'secondtrimester', 'fertilityjourney', 'goddidnotfail']",age1
anon_0095,116,35,6,1115,"['boyfriend', 'relatable', 'trending', 'viral', 'girlfriend', 'pregnancy', 'aboutme', 'trend', 'pregnant', 'michigan', 'postpartum', 'momlife', 'allaboutme', 'boymom', 'gettoknowme', 'sahm', '2under2', 'gtkm', 'momtok', 'fiance', 'michiganmama']",age1
anon_0096,205,16,10,16088,"['teamwork', 'pregnancy', 'blackfriday', 'youngmom', 'sponsored', 'sidehustle', 'sahm', 'targettrip', 'cozyvibes', 'affiliatemarketing', 'tiktokshop', 'maternityfashion', 'pregnancystyle', 'tiktokshopaffiliate', 'maternityjumpsuit', 'fallgashion', 'tiktokshopblackfriday']",age1
anon_0097,11,9,0,424,"['siblings', 'littlebrother', 'bigbrother', 'bigsister', 'pregnancy', 'havingababy', 'sahm', 'pregnanttiktok', 'sahmtok']",age1
anon_0098,62,9,1,467,"['pregnant', 'momlife', 'pregnantlife', 'sahm', 'thirdtrimester', 'pregnancyhumor', 'momsoftiktok']",age1
