username,engagement,age_group,relatability_score,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
anon_0001,0.1676829268292683,age1,0.9556207060813904,0.0064888997003436,0.0027529043145477,0.0012637241743505,0.0037692382466048,0.0123693821951746,0.0006990000256337,0.1411231458187103,0.2123388648033142,0.0018087227363139,0.0041516534984111,0.0036203898489475,0.0004176980291958,0.0002790161524899,0.0009248176938854,0.0002052903291769,0.000927630229853,0.0002591575030237,0.0003472901589702,0.0026486308779567,0.0002086844033328,0.0053961742669343,0.0003147843817714,0.0091536762192845,0.0002317454054718,0.0006686054985038,0.0023427121341228,0.0042027230374515,0.681187629699707
anon_0002,0.0356435643564356,age1,0.9812527298927308,0.0066492683254182,0.0016222633421421,0.0006103090126998,0.0019632996991276,0.0143749620765447,0.0006331000477075,0.0100893676280975,0.0098046222701668,0.0032973643392324,0.0018013761145994,0.0016923241782933,0.0004497308691497,0.0006564335199072,0.0012769865570589,0.0003088343946728,0.0010158665245398,0.0004048769187647,0.0009791421471163,0.0017285262001678,0.000283643399598,0.0016880905022844,0.0007238434627652,0.0080731529742479,0.0004804298223461,0.0006036308477632,0.0028826594352722,0.0038124397397041,0.9615418314933776
anon_0003,0.0247490309114402,age1,0.8786345720291138,0.0014761763159185,0.0008018169319257,0.0018695144681259,0.0041852556169033,0.0045886859297752,0.001858894014731,0.2154872864484787,0.2563809752464294,0.0003971014230046,0.0169770866632461,0.0058620581403374,0.0008588326163589,0.000767967198044,0.0007720334106124,0.0011051017791032,0.000519880617503,0.0004271207435522,0.0003142545756418,0.0018909024074673,0.0003131515695713,0.0011424717959016,0.0001890155981527,0.0097712306305766,0.0003575520240701,0.0018295141635462,0.0153456376865506,0.0069766179658472,0.4811077415943146
anon_0004,0.0742442309041172,age1,0.9673171639442444,0.0466690994799137,0.0005513479118235,0.0006657384801656,0.0084527181461453,0.0155833177268505,0.0034998110495507,0.0017709621461108,0.0009405413875356,0.0047725103795528,0.0120893493294715,0.0239217579364776,0.0013974673347547,0.0008914120262488,0.001369412173517,7.488656410714611e-05,0.6958032250404358,0.0005164155154488,0.0054789991118013,0.0037660540547221,0.0003926797071471,0.0021192489657551,0.0033684351947158,0.0221477802842855,0.0082995854318141,0.0018916252302005,0.0084022525697946,0.0005452649202197,0.1203209087252616
anon_0005,0.0614209827357237,age1,0.5260985493659973,0.0089510967954993,0.0095324171707034,0.0038265080656856,0.022287867963314,0.0072776204906404,0.0090992571786046,0.00476312963292,0.0122994892299175,0.0047152354381978,0.0561088435351848,0.0126498853787779,0.0067262188531458,0.0014552222564816,0.0030662810895591,0.0019285987364128,0.0034764560405164,0.0020024401601403,0.0136657860130071,0.0975015759468078,0.000733675668016,0.002674093004316,0.0002433428016956,0.0149613646790385,0.0013937610201537,0.0302667766809463,0.1201881244778633,0.0029044181574136,0.3155945539474487
anon_0006,0.1445086705202312,age1,0.4303329288959503,0.0024393512867391,0.0010051596909761,0.0020727964583784,0.0032138910610228,0.0079013118520379,0.0016827726503834,0.0150322187691926,0.0052754455246031,0.0035600620321929,0.0027078255079686,0.0020953135099262,0.000664789986331,0.0005003692349418,0.000988854561001,0.0008673237171024,0.0011610580841079,0.0006226588739082,0.0005216673598624,0.0021052262745797,0.0004286096955183,0.0011110821506008,0.0003168825060129,0.0041478741914033,0.0019017128506675,0.0011888070730492,0.0047381948679685,0.0019538695923984,0.9680445194244384
anon_0007,0.068359375,age1,0.266633540391922,0.0033130664378404,0.0047278935089707,0.0017894741613417,0.0110880015417933,0.0043052034452557,0.0003938402223866,0.3037313818931579,0.2728863954544067,0.0007815764984115,0.0035031421575695,0.0042391326278448,0.0005536536918953,0.0009603253565728,0.0007951424922794,0.0003983875794801,0.0007727440097369,0.0001989728189073,0.0002703422796912,0.0006994851282797,0.0002250261604785,0.0005958296824246,0.0002288553223479,0.013173728249967,0.0001990286109503,0.0012607618700712,0.0030010470654815,0.0108919916674494,0.5777055621147156
anon_0008,0.0618686868686868,age1,0.3358067870140075,0.0374885685741901,0.0015454752137884,0.0005227248184382,0.0080705033615231,0.1956297606229782,0.1650477945804596,0.0008475733920931,0.0022848153021186,0.0029968738090246,0.0059651755727827,0.0010526808910071,0.0001768242073012,0.0002301568893017,0.0025101415812969,0.0006860900321044,0.0133314812555909,0.0005070091574452,0.0080358898267149,0.0138529995456337,0.0001928974961629,0.0124362939968705,0.0009794207289814,0.0110749956220388,0.0031356466934084,0.0003914401459041,0.015300958417356,0.002091291360557,0.4828652739524841
anon_0009,0.0798771121351766,age1,0.3715272843837738,0.0411424972116947,0.0071548679843544,0.0015220504719763,0.0036330670118331,0.0477162040770053,0.0005820314981974,0.0137522323057055,0.0134011432528495,0.005169746465981,0.0016887946985661,0.0031091044656932,0.0006501444731839,0.0007628625025972,0.015063832513988,0.000517850392498,0.0005128603079356,0.0003031982341781,0.0311962887644767,0.1617963165044784,0.0003411689831409,0.0041839801706373,0.0007001807680353,0.0084964595735073,0.0009444606839679,8.8169974333141e-05,0.0012605300871655,0.0036060505080968,0.5891667008399963
anon_0010,0.0488466757123473,age1,0.781652569770813,0.1720414012670517,0.1007384732365608,0.0007435519364662,0.0095169506967067,0.0495546609163284,0.0088668996468186,0.0027052359655499,0.0053980993106961,0.0067721046507358,0.0030668571125715,0.0012785290600731,0.0003488060319796,0.0021009691990911,0.1004213392734527,0.0004638540849555,0.0038957756478339,0.0001960175577551,0.5970150232315063,0.02130744792521,0.0003208505222573,0.024891447275877,0.0018678130581974,0.0131462709978222,0.0016246538143604,0.0001311796950176,0.0009802650893107,0.004293989855796,0.1363777816295623
